Subject,Start Date,End Date,All Day Event
【学校】留学生と語る会,09/26/2018,09/27/2018,TRUE
【寮】寮生指導者研修会、寮務委員と寮生会との懇談会,09/27/2018,09/28/2018,TRUE
【学校】専攻科校外実習報告書提出締切（含、長期インターンシップ報告書）,09/28/2018,09/29/2018,TRUE
【学校】専攻科後期履修届締切（１年）,10/01/2018,10/02/2018,TRUE
【学校】入試説明会（津山）,10/02/2018,10/03/2018,TRUE
【寮】北辰寮救急処置実技講習会,10/02/2018,10/03/2018,TRUE
【学校】校内清掃,10/02/2018,10/03/2018,TRUE
【学校】入試説明会（岡山）,10/03/2018,10/04/2018,TRUE
【学校】入試説明会（新見）,10/04/2018,10/05/2018,TRUE
【学校】４年工場見学（４日・１１日・１８日・２５日のいずれか）,10/04/2018,10/05/2018,TRUE
【学校】専攻科校外実習・長期インターンシップ報告会,10/04/2018,10/06/2018,TRUE
【学校】入試説明会（笠岡）,10/05/2018,10/06/2018,TRUE
【学校】保護者懇談会・学校説明会（津山）,10/06/2018,10/07/2018,TRUE
【学校】留学生交流シンポジウム,10/06/2018,10/09/2018,TRUE
【学校】保護者懇談会・学校説明会（岡山）,10/07/2018,10/08/2018,TRUE
【学校】水曜日の授業,10/09/2018,10/10/2018,TRUE
【学校】秋季スポーツ大会（雨天の場合は１７日に順延）,10/10/2018,10/11/2018,TRUE
【学校】４年工場見学（４日・１１日・１８日・２５日のいずれか）,10/11/2018,10/12/2018,TRUE
【学校】授業公開週間,10/15/2018,10/20/2018,TRUE
【学校】授業参観日,10/15/2018,10/16/2018,TRUE
【学校】海外研修帰国報告会,10/15/2018,10/16/2018,TRUE
【学校】４年工場見学（４日・１１日・１８日・２５日のいずれか）,10/18/2018,10/19/2018,TRUE
【寮】北辰寮防災訓練（地震対応）,10/18/2018,10/19/2018,TRUE
【学校】ロボコン中国地区大会,10/21/2018,10/22/2018,TRUE
【寮】寮生バドミントン大会,10/23/2018,10/26/2018,TRUE
【学校】３年合宿研修,10/25/2018,10/27/2018,TRUE
【学校】４年工場見学（４日・１１日・１８日・２５日のいずれか）,10/25/2018,10/26/2018,TRUE
【学校】月曜日の授業,11/01/2018,11/02/2018,TRUE
【学校】弥生祭準備（休講）,11/02/2018,11/03/2018,TRUE
【学校】弥生祭本祭,11/03/2018,11/05/2018,TRUE
【学校】ミニオープンキャンパス,11/03/2018,11/05/2018,TRUE
【寮】寮生保護者連絡会、北辰寮後援会役員会,11/04/2018,11/05/2018,TRUE
【学校】弥生祭後片付（休講）,11/05/2018,11/06/2018,TRUE
【寮】寮生教養講座,11/08/2018,11/09/2018,TRUE
【学校】１年生GTEC for STUDENTS試験,11/16/2018,11/17/2018,TRUE
【学校】補講日（予備日）,11/17/2018,11/18/2018,TRUE
【学校】専攻科後期学力・社会人特別入試願書受付,11/19/2018,11/23/2018,TRUE
【学校】資格関連科目指導日,11/20/2018,11/21/2018,TRUE
【学校】後期中間試験,11/21/2018,11/29/2018,TRUE
【学校】金曜日授業,11/21/2018,11/22/2018,TRUE
【学校】２～５年第２回単位認定試験時間割発表,11/22/2018,11/23/2018,TRUE
【学校】２年生GTEC for STUDENTS試験,11/28/2018,11/29/2018,TRUE
【学校】２～５年第２回単位認定試験,12/01/2018,12/02/2018,TRUE
【学校】専攻科後期学力・社会人特別入試,12/03/2018,12/04/2018,TRUE
【学校】校内清掃,12/04/2018,12/05/2018,TRUE
【寮】入寮説明会,12/06/2018,12/07/2018,TRUE
【学校】専攻科後期学力・社会人特別入試合格者発表,12/07/2018,12/08/2018,TRUE
【学校】２～５年第２回単位認定試験,12/08/2018,12/09/2018,TRUE
【寮】寮一斉清掃,12/10/2018,12/11/2018,TRUE
【学校】一斉懇談日,12/11/2018,12/12/2018,TRUE
【学校】専攻科進路活動報告会,12/11/2018,12/12/2018,TRUE
【学校】４年生GTEC for STUDENTS試験,12/18/2018,12/19/2018,TRUE
【学校】推薦入試願書受付,12/20/2018,12/27/2018,TRUE
【寮】閉寮（１５：００）・閉寮点検,12/22/2018,12/23/2018,TRUE
【学校】冬季休業,12/25/2018,01/08/2019,TRUE
【寮】開寮（１０：００）,01/07/2019,01/08/2019,TRUE
【学校】授業開始,01/08/2019,01/09/2019,TRUE
【寮】寮生集会,01/08/2019,01/09/2019,TRUE
【学校】月曜日の授業,01/15/2019,01/16/2019,TRUE
【寮】寮生ドッジボール大会,01/15/2019,01/18/2019,TRUE
【学校】推薦入試,01/16/2019,01/17/2019,TRUE
【学校】臨時休業日,01/16/2019,01/17/2019,TRUE
【学校】専攻科特別研究報告書一次締切,01/18/2019,01/19/2019,TRUE
【学校】推薦入試合格内定者発表,01/22/2019,01/23/2019,TRUE
【学校】学生会長立会演説会,01/22/2019,01/23/2019,TRUE
【学校】専攻科特別研究発表会,01/24/2019,01/26/2019,TRUE
【学校】補講日（予備日）,01/26/2019,01/27/2019,TRUE
【学校】学力入試願書受付,01/29/2019,02/02/2019,TRUE
【学校】校内清掃,01/30/2019,01/31/2019,TRUE
【学校】補講日,01/30/2019,01/31/2019,TRUE
【学校】後期末試験,01/31/2019,02/07/2019,TRUE
【学校】３年生GTEC for STUDENTS試験,02/06/2019,02/07/2019,TRUE
【学校】専攻科情報交換会,02/08/2019,02/09/2019,TRUE
【寮】退寮説明会,02/12/2019,02/13/2019,TRUE
【学校】海外研究説明会,02/12/2019,02/13/2019,TRUE
【学校】一斉懇談日,02/12/2019,02/13/2019,TRUE
【寮】寮一斉清掃,02/13/2019,02/14/2019,TRUE
【学校】月曜日の授業,02/14/2019,02/15/2019,TRUE
【学校】全校集会,02/15/2019,02/16/2019,TRUE
【学校】清掃（全学年）,02/15/2019,02/16/2019,TRUE
【学校】選択科目（資格関連）単位認定願提出締切（５年）,02/15/2019,02/16/2019,TRUE
【学校】学力入試,02/17/2019,02/18/2019,TRUE
【学校】臨時休業日,02/18/2019,02/19/2019,TRUE
【学校】特別補習期間,02/19/2019,02/26/2019,TRUE
【学校】専攻科特別研究報告書締切,02/21/2019,02/22/2019,TRUE
【学校】入学試験合格者発表,02/25/2019,02/26/2019,TRUE
【学校】特別教育期間,02/26/2019,03/20/2019,TRUE
【学校】選択科目（資格関連）単位認定願提出締切（３・４年）,02/28/2019,03/01/2019,TRUE
【学校】入学説明会・入学手続き（第１回）,03/02/2019,03/03/2019,TRUE
【寮】入寮説明会（第１回）,03/02/2019,03/03/2019,TRUE
【寮】寮生活動報告会,03/10/2019,03/11/2019,TRUE
【寮】北辰寮後援会役員会,03/10/2019,03/11/2019,TRUE
【学校】卒業式・専攻科修了式,03/15/2019,03/16/2019,TRUE
【学校】入学説明会・入学手続き（第２回）,03/18/2019,03/19/2019,TRUE
【寮】入寮説明会（第２回）,03/18/2019,03/19/2019,TRUE
【寮】閉寮（１５：００）・閉寮点検,03/19/2019,03/20/2019,TRUE
【学校】学年末休業,03/20/2019,04/01/2019,TRUE

